Projekttraeger;97;97 - Werkhof Darmstadt e. V. - Darmstadt;Grenzallee 10, 64297 Darmstadt;097
Projekttraeger;98;98 - Werkstatt Frankfurt e. V. - Frankfurt;Mainzer Landstraße 405, 60326 Frankfurt;098
Projekttraeger;99;99 - Werkstatt für junge Menschen e. V. - Eschwege;Niederhoner Str. 6, 37269 Eschwege;099
Projekttraeger;100;100 - Zentrum Arbeit und Umwelt (ZAUG) gGmbH - Gießen;Kiesweg 31, 35396 Gießen;100
Projekttraeger;101;101 - Zentrum für Trauma- und Konfliktmanagement (ZTK) GmbH - Köln;Clemensstr. 5-7, 50676 Köln;101
Projekttraeger;102;102 - Zentrum für Weiterbildung gGmbH Frankfurt - Frankfurt;Mainzer Landstr. 349, 60326 Frankfurt;102
Projekttraeger;103;103 - ProJob Rheingau-Taunus GmbH - Taunusstein;Konrad-Adenauer-Str. 15, 65232 Taunusstein;103
Projekttraeger;104;104 - Kreisausschuss des Rheingau-Taunus-Kreises - Bad Schwalbach;Heimbacher Str. 7, 65307 Bad Schwalbach;104
Projekttraeger;106;106 - Berufsbildungswerk Nordhessen (BBW Nordhessen) - Kassel;Hoffmann von Fallersleben-Str. 21, 34117 Kassel;106
Projekttraeger;108;108 - Delta GmbH - Korbach;Flechtdorfer Str. 13, 34497 Korbach;108
Projekttraeger;110;110 - BFH gGmbH Berufsförderungswerk des Handwerks - Korbach;Christian-Paul-Str. 5, 34497 Korbach;110
Projekttraeger;112;112 - Gesellschaft für Wirtschaftskunde e. V. - Hanau;Martin-Luther-King-Str. 1, 63450 Hanau;112
Projekttraeger;114;114 - Kommunales Center für Arbeit - Jobcenter und Soziales (KCA) - Gelnhausen;Gutenbergstr. 2, 63571 Gelnhausen;114
Projekttraeger;115;115 - Internationaler Bund IB, JMD Friedberg - Marburg;Biegenstr. 3, 35037 Marburg;115
Projekttraeger;116;116 - Diakonisches Werk Wetterau-Nidda - Nidda;Bahnhofstr. 26, 63667 Nidda;116
Projekttraeger;118;118 - Mobile Praxis gem. GmbH - Darmstadt;Grenzallee, 64297 Darmstadt;118
Projekttraeger;119;119 - Initiative Arbeit im Bistum Mainz e. V. - Offenbach;Marienstr. 36, 63069 Offenbach;119
Projekttraeger;120;120 - Sefo femkom/Koordinierungsstelle der STDA - Darmstadt;Wiener Str. 78, 64287 Darmstadt;120
Projekttraeger;121;121 - Starthilfe Hochtaunus e. V. - Usingen;Raiffeisenstr. 10, 61250 Usingen;121
Projekttraeger;122;122 - Taunusdienste gGmbH - Bad Homburg;Ludwig-Erhard-Anlage 1-5, 61352 Bad Homburg;122
Projekttraeger;124;124 - LAG Arbeit in Hessen e. V. - Frankfurt;Mainzer Landstr. 405, 60326 Frankfurt;124
Projekttraeger;125;125 - Frankfurter Verein für soziale Heimstätten e. V. - Frankfurt;Grosse Seestr. 43, 60486 Frankfurt;125
Projekttraeger;126;126 - Basis-Beratung, Arbeit, Jugend & Kultur e. V. - Frankfurt;Heddernheimer Landstr. 145, 60439 Frankfurt;126
Projekttraeger;128;128 - Integrative Drogenhilfe e. V. - Frankfurt;Schielestr. 22-26, 60314 Frankfurt;128
Projekttraeger;129;129 - Diakonisches Werk für Ffm. Des ERV - Frankfurt;Kurt-Schumacher-Str. 31, 60311 Frankfurt;129
Projekttraeger;130;130 - Frauen-Softwarehaus e. V. - Frankfurt;Hohenstaufenstr. 8, 60327 Frankfurt;130
Projekttraeger;131;131 - Caritasverband Frankfurt e. V. - Frankfurt;Alte Mainzer Gasse, 60311 Frankfurt;131
Projekttraeger;132;132 - FRAP gGmbH - Frankfurt;Mainzer Landstr. 405, 60326 Frankfurt;132
Projekttraeger;133;133 - AWO Fulda - Fulda;Frankfurter Str. 28, 36043 Fulda;133
Projekttraeger;134;134 - Internationaler Bund IB Laubach - Laubach;Schmelzweg 3, 35321 Laubach;134
Projekttraeger;135;135 - IJB - Gemeinnützige Gesellschaft für Integration, Jugend und Berufsausbildung mbH - Gießen;Nordanlage 33, 35390 Gießen;135
Projekttraeger;136;136 - Institut für Berufs- und Sozialpädagogik gGmbH - Pohlheim;Leipziger Str. 8, 35415 Pohlheim;136
Projekttraeger;137;137 - Diakonisches Werk Bergstraße - Bensheim;Riedstraße 1, 64625 Bensheim;137
